-36,640
-48,370
-28,330
-64,440
-67,840
-76,840
-75,940
-84,030
-96,340
-103,100
-102,170
-94,970
-91,620
-79,610
-79,750
-63,710
-52,960
-41,570
-37,390
-20,730
-9,640
-3,870
-6,230
-1,970
5,050
44,950
10,060
59,000
116,490
158,840
124,220
128,320
153,940
158,950
153,570
151,460
127,280
120,210
142,990
121,320
115,920
111,810
134,520
127,940
123,170
113,760
122,680
116,710
112,220
107,460
113,500
117,590
119,050
117,050
117,170
113,440
112,970
109,810
115,020
114,340
112,950
110,000
108,340
108,320
109,750
112,670
103,840
112,010
110,950
122,110
120,650
123,520
130,040
145,600
131,030
145,660
159,200
179,660
176,820
173,700
146,650
116,800
182,570
132,870
99,160
72,990
118,350
74,010
61,160
27,060
46,310
